Lat,Lon,Name,StopID
38.833038,-77.059815,MT VERNON AVE + KENNEDY ST,4000354
38.833356,-77.060086,MT VERNON AVE + KENNEDY ST,4000357
38.834409,-77.060074,MT VERNON AVE + HERBERT ST,4000368
38.792778,-77.049531,S WASHINGTON ST NORTHBOUND + HUNTING POINT,4000903
38.792484,-77.049965,GW MEMORIAL PKY + THORNTON WAY,4001088
38.791804,-77.050453,S WASHINGTON ST + HUNTING TOWERS,4000470
38.836337,-77.061017,MT VERNON AVE + W GLEBE RD,4000383
38.837052,-77.049032,POTOMAC AVE + REED AVE,4001067
38.791257,-77.061213,OLD RICHMOND HWY + FORT HUNT RD,5001808
38.794488,-77.071072,HUNTINGTON AVE + FARRINGTON AVE,5001813
38.795077,-77.072347,HUNTINGTON AVE + FENWICK DR,5001812
38.837555,-77.048893,POTOMAC AVE + REED AVE,4001066
38.794202,-77.070878,HUNTINGTON AVE + BETW BISCAYNE & BLAINE DR,5001815
38.794846,-77.07235,HUNTINGTON AVE + BISCAYNE DR,5002008
38.79568,-77.074151,HUNTINGTON AVE + WEST ENTRANCE TO HUNTINGTON STATION,5001814
38.791944,-77.066976,HUNTINGTON AVE + FOLEY ST,5001811
38.837578,-77.061861,MT VERNON AVE + W REED AVE,4000396
38.79063,-77.063293,OLD RICHMOND HWY + CAMERON RUN TER,5001809
38.791315,-77.066433,HUNTINGTON AVE + FOLEY ST,5002009
38.838038,-77.061891,MT VERNON AVE + W REED AVE,4000397
38.795364,-77.075011,HUNTINGTON STATION + BUS BAY C,5002212
38.795237,-77.075035,HUNTINGTON STATION + BUS BAY B,5002201
38.79068,-77.065602,HUNTINGTON AVE + HUNTING CREEK RD,5001816
38.790375,-77.064619,HUNTINGTON AVE + OLD RICHMOND HWY,5001810
38.808154,-77.085796,DUKE ST + ALEXANDRIA COMMONS,4000058
38.807977,-77.086005,DUKE ST + ALEXANDRIA COMMONS,4000056
38.824655,-77.084318,KING ST + T.C. WILLIAMS HS,4000992
38.838856,-77.065246,W GLEBE RD + EXECUTIVE AVE,4000776
38.825137,-77.084727,KING ST + KENWOOD AVE,4000880
38.839218,-77.065651,W GLEBE RD + EXECUTIVE AVE,4000777
38.840108,-77.062906,MT VERNON AVE + RUSSELL RD,4000419
