,Start,End,product_name,distance,high_estimate,low_estimate,duration,Name_x,Code,Lat_x,Lon_x,Lat_y,Lon_y,Name_y,Nearest_Metro,StopID,ADDRESS,LATITUDE,LONGITUDE,IN_RANGE
31,C07,C08,Pool,1.04,9.0,5.0,420,Pentagon,C07,38.869349,-77.054013,38.868518,-77.0541,PENTAGON TRANSIT CTR + BUS BAY L4,Pentagon,6000906.0,,,,
32,C07,C08,Pool,1.04,9.0,5.0,420,Pentagon,C07,38.869349,-77.054013,38.869684,-77.053021,PENTAGON TRANSIT CTR + BUS BAY U13,Pentagon,6000800.0,,,,
33,C07,C08,UberX,1.04,8.0,6.0,420,Pentagon,C07,38.869349,-77.054013,38.869059,-77.053842,PENTAGON TRANSIT CTR + BUS BAY U7,Pentagon,6000930.0,,,,
34,C07,C08,UberX,1.04,8.0,6.0,420,Pentagon,C07,38.869349,-77.054013,38.869236,-77.05359200000001,PENTAGON TRANSIT CTR + BUS BAY U-9,Pentagon,6001295.0,,,,
35,C07,C08,UberX,1.04,8.0,6.0,420,Pentagon,C07,38.869349,-77.054013,38.869312,-77.053505,PENTAGON TRANSIT CTR + BUS BAY U10,Pentagon,6000788.0,,,,
36,C07,C08,UberX,1.04,8.0,6.0,420,Pentagon,C07,38.869349,-77.054013,38.868936,-77.054015,PENTAGON TRANSIT CTR + BUS BAY U6,Pentagon,6000883.0,,,,
37,C07,C08,UberX,1.04,8.0,6.0,420,Pentagon,C07,38.869349,-77.054013,38.869439,-77.053336,PENTAGON TRANSIT CTR + BUS BAY U11,Pentagon,6000938.0,,,,
38,C07,C08,UberX,1.04,8.0,6.0,420,Pentagon,C07,38.869349,-77.054013,38.8688,-77.054209,PENTAGON TRANSIT CTR + BUS BAY U5,Pentagon,6000884.0,,,,
39,C07,C08,UberX,1.04,8.0,6.0,420,Pentagon,C07,38.869349,-77.054013,38.869578999999995,-77.053157,PENTAGON TRANSIT CTR + BUS BAY U12,Pentagon,6000877.0,,,,
40,C07,C08,UberX,1.04,8.0,6.0,420,Pentagon,C07,38.869349,-77.054013,38.868651,-77.05439799999999,PENTAGON TRANSIT CTR + BUS BAY U4,Pentagon,6000904.0,,,,
41,C07,C08,UberX,1.04,8.0,6.0,420,Pentagon,C07,38.869349,-77.054013,38.868573,-77.054035,PENTAGON TRANSIT CTR + BUS BAY L5,Pentagon,6000792.0,,,,
42,C07,C08,UberX,1.04,8.0,6.0,420,Pentagon,C07,38.869349,-77.054013,38.868518,-77.0541,PENTAGON TRANSIT CTR + BUS BAY L4,Pentagon,6000906.0,,,,
43,C07,C08,UberX,1.04,8.0,6.0,420,Pentagon,C07,38.869349,-77.054013,38.869684,-77.053021,PENTAGON TRANSIT CTR + BUS BAY U13,Pentagon,6000800.0,,,,
44,C07,C08,Black SUV,1.04,29.0,23.0,420,Pentagon,C07,38.869349,-77.054013,38.869059,-77.053842,PENTAGON TRANSIT CTR + BUS BAY U7,Pentagon,6000930.0,,,,
45,C07,C08,Black SUV,1.04,29.0,23.0,420,Pentagon,C07,38.869349,-77.054013,38.869236,-77.05359200000001,PENTAGON TRANSIT CTR + BUS BAY U-9,Pentagon,6001295.0,,,,
46,C07,C08,Black SUV,1.04,29.0,23.0,420,Pentagon,C07,38.869349,-77.054013,38.869312,-77.053505,PENTAGON TRANSIT CTR + BUS BAY U10,Pentagon,6000788.0,,,,
47,C07,C08,Black SUV,1.04,29.0,23.0,420,Pentagon,C07,38.869349,-77.054013,38.868936,-77.054015,PENTAGON TRANSIT CTR + BUS BAY U6,Pentagon,6000883.0,,,,
48,C07,C08,Black SUV,1.04,29.0,23.0,420,Pentagon,C07,38.869349,-77.054013,38.869439,-77.053336,PENTAGON TRANSIT CTR + BUS BAY U11,Pentagon,6000938.0,,,,
49,C07,C08,Black SUV,1.04,29.0,23.0,420,Pentagon,C07,38.869349,-77.054013,38.8688,-77.054209,PENTAGON TRANSIT CTR + BUS BAY U5,Pentagon,6000884.0,,,,
50,C07,C08,Black SUV,1.04,29.0,23.0,420,Pentagon,C07,38.869349,-77.054013,38.869578999999995,-77.053157,PENTAGON TRANSIT CTR + BUS BAY U12,Pentagon,6000877.0,,,,
51,C07,C08,Black SUV,1.04,29.0,23.0,420,Pentagon,C07,38.869349,-77.054013,38.868651,-77.05439799999999,PENTAGON TRANSIT CTR + BUS BAY U4,Pentagon,6000904.0,,,,
52,C07,C08,Black SUV,1.04,29.0,23.0,420,Pentagon,C07,38.869349,-77.054013,38.868573,-77.054035,PENTAGON TRANSIT CTR + BUS BAY L5,Pentagon,6000792.0,,,,
53,C07,C08,Black SUV,1.04,29.0,23.0,420,Pentagon,C07,38.869349,-77.054013,38.868518,-77.0541,PENTAGON TRANSIT CTR + BUS BAY L4,Pentagon,6000906.0,,,,
54,C07,C08,Black SUV,1.04,29.0,23.0,420,Pentagon,C07,38.869349,-77.054013,38.869684,-77.053021,PENTAGON TRANSIT CTR + BUS BAY U13,Pentagon,6000800.0,,,,
55,C07,C08,WAV,1.04,8.0,6.0,420,Pentagon,C07,38.869349,-77.054013,38.869059,-77.053842,PENTAGON TRANSIT CTR + BUS BAY U7,Pentagon,6000930.0,,,,
56,C07,C08,WAV,1.04,8.0,6.0,420,Pentagon,C07,38.869349,-77.054013,38.869236,-77.05359200000001,PENTAGON TRANSIT CTR + BUS BAY U-9,Pentagon,6001295.0,,,,
57,C07,C08,WAV,1.04,8.0,6.0,420,Pentagon,C07,38.869349,-77.054013,38.869312,-77.053505,PENTAGON TRANSIT CTR + BUS BAY U10,Pentagon,6000788.0,,,,
58,C07,C08,WAV,1.04,8.0,6.0,420,Pentagon,C07,38.869349,-77.054013,38.868936,-77.054015,PENTAGON TRANSIT CTR + BUS BAY U6,Pentagon,6000883.0,,,,
59,C07,C08,WAV,1.04,8.0,6.0,420,Pentagon,C07,38.869349,-77.054013,38.869439,-77.053336,PENTAGON TRANSIT CTR + BUS BAY U11,Pentagon,6000938.0,,,,
60,C07,C08,WAV,1.04,8.0,6.0,420,Pentagon,C07,38.869349,-77.054013,38.8688,-77.054209,PENTAGON TRANSIT CTR + BUS BAY U5,Pentagon,6000884.0,,,,
61,C07,C08,WAV,1.04,8.0,6.0,420,Pentagon,C07,38.869349,-77.054013,38.869578999999995,-77.053157,PENTAGON TRANSIT CTR + BUS BAY U12,Pentagon,6000877.0,,,,
62,C07,C08,WAV,1.04,8.0,6.0,420,Pentagon,C07,38.869349,-77.054013,38.868651,-77.05439799999999,PENTAGON TRANSIT CTR + BUS BAY U4,Pentagon,6000904.0,,,,
63,C07,C08,WAV,1.04,8.0,6.0,420,Pentagon,C07,38.869349,-77.054013,38.868573,-77.054035,PENTAGON TRANSIT CTR + BUS BAY L5,Pentagon,6000792.0,,,,
64,C07,C08,WAV,1.04,8.0,6.0,420,Pentagon,C07,38.869349,-77.054013,38.868518,-77.0541,PENTAGON TRANSIT CTR + BUS BAY L4,Pentagon,6000906.0,,,,
65,C07,C08,WAV,1.04,8.0,6.0,420,Pentagon,C07,38.869349,-77.054013,38.869684,-77.053021,PENTAGON TRANSIT CTR + BUS BAY U13,Pentagon,6000800.0,,,,
66,C07,C08,UberX Car Seat,1.04,19.0,14.0,420,Pentagon,C07,38.869349,-77.054013,38.869059,-77.053842,PENTAGON TRANSIT CTR + BUS BAY U7,Pentagon,6000930.0,,,,
67,C07,C08,UberX Car Seat,1.04,19.0,14.0,420,Pentagon,C07,38.869349,-77.054013,38.869236,-77.05359200000001,PENTAGON TRANSIT CTR + BUS BAY U-9,Pentagon,6001295.0,,,,
68,C07,C08,UberX Car Seat,1.04,19.0,14.0,420,Pentagon,C07,38.869349,-77.054013,38.869312,-77.053505,PENTAGON TRANSIT CTR + BUS BAY U10,Pentagon,6000788.0,,,,
69,C07,C08,UberX Car Seat,1.04,19.0,14.0,420,Pentagon,C07,38.869349,-77.054013,38.868936,-77.054015,PENTAGON TRANSIT CTR + BUS BAY U6,Pentagon,6000883.0,,,,
70,C07,C08,UberX Car Seat,1.04,19.0,14.0,420,Pentagon,C07,38.869349,-77.054013,38.869439,-77.053336,PENTAGON TRANSIT CTR + BUS BAY U11,Pentagon,6000938.0,,,,
71,C07,C08,UberX Car Seat,1.04,19.0,14.0,420,Pentagon,C07,38.869349,-77.054013,38.8688,-77.054209,PENTAGON TRANSIT CTR + BUS BAY U5,Pentagon,6000884.0,,,,
72,C07,C08,UberX Car Seat,1.04,19.0,14.0,420,Pentagon,C07,38.869349,-77.054013,38.869578999999995,-77.053157,PENTAGON TRANSIT CTR + BUS BAY U12,Pentagon,6000877.0,,,,
73,C07,C08,UberX Car Seat,1.04,19.0,14.0,420,Pentagon,C07,38.869349,-77.054013,38.868651,-77.05439799999999,PENTAGON TRANSIT CTR + BUS BAY U4,Pentagon,6000904.0,,,,
74,C07,C08,UberX Car Seat,1.04,19.0,14.0,420,Pentagon,C07,38.869349,-77.054013,38.868573,-77.054035,PENTAGON TRANSIT CTR + BUS BAY L5,Pentagon,6000792.0,,,,
75,C07,C08,UberX Car Seat,1.04,19.0,14.0,420,Pentagon,C07,38.869349,-77.054013,38.868518,-77.0541,PENTAGON TRANSIT CTR + BUS BAY L4,Pentagon,6000906.0,,,,
